queue_name,queue_slug,scenario_id,replication,seed,lambda_rate,mu_rate,rho,K,N,p_high,servers,service_distribution,sim_time,warmup_time,measured_time,arrivals_total,arrivals_high,arrivals_low,accepted_total,accepted_high,accepted_low,served_total,served_high,served_low,dropped_total,dropped_high,dropped_low,replaced_low,loss_probability_total,loss_probability_high,loss_probability_low,replacement_probability_low,throughput_total,throughput_high,throughput_low,server_utilization,mean_system_occupancy,mean_queue_occupancy,mean_waiting_time,mean_system_time,mean_service_time,p50_system_time,p95_system_time,p99_system_time,mean_waiting_time_high,mean_waiting_time_low,mean_system_time_high,mean_system_time_low,little_law_error_abs,little_law_error_rel,mean_residence_time_admitted,departed_admitted_total,admitted_departure_rate,little_law_error_admitted
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,29,5501037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180047,54176,125871,180047,54176,125871,180045,54176,125869,0,0,0,0,0.0,0.0,0.0,0.0,200.05,60.19555555555556,139.85444444444445,0.7999220306239238,3.8568401937988557,3.0569181631748035,0.015279104733447686,0.01927747084264597,0.003998366109198082,0.013527252127119027,0.05728763681343022,0.08643577540330166,0.015323478463585114,0.015260005581123118,0.01934973832819996,0.019246365778671306,0.0003821517275293118,9.908414876606682e-05,0.01927747084264597,180045,200.05,0.0003821517275293118
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,0,5472039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,179893,54086,125807,179893,54086,125807,179893,54086,125807,0,0,0,0,0.0,0.0,0.0,0.0,199.88111111111112,60.095555555555556,139.78555555555556,0.7995284747949271,2.4131265693320154,1.613598094538009,0.008072789297438045,0.012072789297443954,0.004000000000011004,0.009123906537865878,0.031046022167288356,0.04635890420482603,0.008080357697541049,0.008069535547742429,0.012080357697555642,0.01206953554775154,4.030348587313881e-06,1.6701770385916947e-06,0.012072789297443954,179893,199.88111111111112,4.030348587313881e-06
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,1,5473039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,180203,54016,126187,180203,54016,126187,180203,54016,126187,0,0,0,0,0.0,0.0,0.0,0.0,200.22555555555556,60.01777777777778,140.20777777777778,0.8009050006465098,2.4634726201867196,1.662567619541181,0.008303473624672538,0.012303473624678716,0.004000000000011018,0.009151218985550713,0.03162267732809027,0.04895909825184504,0.008272376624202459,0.008316785103489032,0.012272376624217096,0.012316785103498483,2.7784222988991303e-06,1.1278478502791473e-06,0.012303473624678716,180203,200.22555555555556,2.7784222988991303e-06
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,2,5474039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,179779,53643,126136,179779,53643,126136,179778,53643,126135,0,0,0,0,0.0,0.0,0.0,0.0,199.75333333333333,59.60333333333333,140.15,0.7990178919413115,2.405868524846705,1.6068506329063879,0.008044174312849994,0.01204417431285554,0.004000000000010999,0.009138183539846523,0.030496184487446953,0.045532831162718716,0.008068387364391647,0.008033876927320067,0.012068387364406212,0.012033876927329159,4.55860610149017e-06,1.8947860427163745e-06,0.01204417431285554,179778,199.75333333333333,4.55860610149017e-06
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,3,5475039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,179918,54033,125885,179918,54033,125885,179912,54033,125879,0,0,0,0,0.0,0.0,0.0,0.0,199.90222222222224,60.03666666666667,139.86555555555555,0.7996186599082686,2.4076569594275337,1.6080382995202234,0.008043700358331685,0.012043700358337168,0.004000000000011005,0.009141984638858958,0.03061379409683126,0.04537391666136648,0.008027995110184686,0.008050441766136967,0.01202799511019931,0.012050441766146166,9.449401735972529e-05,3.924729268001412e-05,0.012043700358337168,179912,199.90222222222224,9.449401735972529e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,4,5476039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,180957,53957,127000,180957,53957,127000,180948,53955,126993,0,0,0,0,0.0,0.0,0.0,0.0,201.05333333333334,59.95,141.10333333333332,0.8042188041636057,2.4719069382115313,1.6676881340490202,0.00829404982350778,0.012294049823512874,0.004000000000011052,0.009199591904405224,0.03167648107178138,0.047933592356758925,0.008287775815963874,0.008296715435604621,0.012287775815978452,0.012296715435613729,0.00014724102818952645,5.956576516430588e-05,0.012294049823512874,180948,201.05333333333334,0.00014724102818952645
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,5,5477039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,179060,53727,125333,179060,53727,125333,179059,53727,125332,0,0,0,0,0.0,0.0,0.0,0.0,198.95444444444445,59.696666666666665,139.2577777777778,0.7958259215946374,2.3813371141562887,1.5855111925626053,0.007969200636988529,0.011969200636994316,0.004000000000010967,0.008973309825705655,0.030792855935027327,0.04714587754142733,0.007966405091218128,0.00797039902437226,0.011966405091232623,0.011970399024382072,1.14509789939099e-05,4.808634160126882e-06,0.011969200636994316,179059,198.95444444444445,1.14509789939099e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,6,5478039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,180314,53781,126533,180314,53781,126533,180313,53781,126532,0,0,0,0,0.0,0.0,0.0,0.0,200.34777777777776,59.75666666666667,140.5911111111111,0.8013914765834766,2.4386310810859086,1.637239604503456,0.008171987843655169,0.012171987843660182,0.004000000000011023,0.00918441452370189,0.031164214351610996,0.047193849630202754,0.008179727926482852,0.008168698008715529,0.012179727926497434,0.012168698008724417,3.6547046633472746e-07,1.4986705827270337e-07,0.012171987843660182,180313,200.34777777777776,3.6547046633472746e-07
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,7,5479039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,179825,53998,125827,179825,53998,125827,179821,53997,125824,0,0,0,0,0.0,0.0,0.0,0.0,199.8011111111111,59.99666666666667,139.80444444444444,0.7992100175968097,2.362706489903299,1.5634964723074924,0.007825171969376321,0.01182517196938208,0.004000000000011001,0.009051288936746005,0.02983404449162208,0.043297753519800565,0.007824650609618665,0.007825395709384848,0.011824650609633192,0.01182539570939411,2.3991340793561022e-05,1.0154177379240593e-05,0.01182517196938208,179821,199.8011111111111,2.3991340793561022e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,service_deterministic,8,5480039,200.0,250.0,0.8,,,0.3,1,deterministic,1000.0,100.0,900.0,179180,53576,125604,179180,53576,125604,179178,53574,125604,0,0,0,0,0.0,0.0,0.0,0.0,199.08666666666667,59.526666666666664,139.56,0.7963609710914026,2.3312355350477145,1.5348745639572523,0.007709492206674673,0.01170949220668092,0.004000000000010972,0.009009939263833644,0.02924057206900556,0.042837035543942144,0.007722359822161239,0.00770400376974535,0.01172235982217584,0.011704003769755137,3.176326029885601e-05,1.3625075553854706e-05,0.01170949220668092,179178,199.08666666666667,3.176326029885601e-05
